Generation Program Gender GenMeanT1 GenMeanT2 GenMeanI GenVarT1 GenVarT2 GenVarI
1 PN1 M 11.3499898556791 9.92776105181478 10.6388754537469 0.585823657250863 0.591583896348256 0.242849090922729
1 PN1 F 11.3856569132879 9.91344079776737 10.6495488555277 0.601123499437855 0.608859121693466 0.250391172013956
2 PN1 M 11.5737383467465 10.0569383392908 10.8153383430186 0.573505952944827 0.50448617732421 0.219559932369647
2 PN1 F 11.584463195925 10.0731171122087 10.8287901540668 0.565228034823308 0.509858971075091 0.214960343055923
3 PN1 M 11.6594987773892 10.3127174902116 10.9861081338004 0.568269877653458 0.497885128561152 0.222446041338659
3 PN1 F 11.672898493712 10.2979879632925 10.9854432285023 0.563684372154052 0.506013350361833 0.225674047771202
4 PN1 M 11.8816355809498 10.4604255146846 11.1710305478172 0.588774123526909 0.544441842406328 0.218460235955944
4 PN1 F 11.8888950024572 10.4704093242942 11.1796521633757 0.583463230267132 0.543457613540758 0.214363582295317
5 PN1 M 12.15587905531 10.7512694790379 11.4535742671739 0.533790129475955 0.563511266244477 0.213907622554256
5 PN1 F 12.1649110002343 10.7598828438124 11.4623969220233 0.522183493604828 0.553744457005497 0.214731364260965
6 PN1 M 12.3098095335344 10.9560559418227 11.6329327376785 0.644229035876583 0.522791322501823 0.2458505754047
6 PN1 F 12.3214794864754 10.9694868742232 11.6454831803493 0.664973560758065 0.531697044675045 0.240834939286336
7 PN1 M 12.4879305125305 11.0108315960483 11.7493810542894 0.570571752076098 0.563161286611859 0.243941299580863
7 PN1 F 12.4723806219124 11.0151956108925 11.7437881164024 0.560697974831392 0.559124617045724 0.249390127224734
8 PN1 M 12.6079498874891 11.2861730599033 11.9470614736962 0.534047694917027 0.610016649770581 0.233368165499595
8 PN1 F 12.6186538889936 11.2504603892744 11.934557139134 0.537914963145697 0.59100817233376 0.236868681933397
9 PN1 M 12.9728023790121 11.5241541089057 12.2484782439589 0.490317662256086 0.606251808421267 0.238234388012914
9 PN1 F 12.9508109990857 11.5405994917519 12.2457052454188 0.496006556615643 0.626436422274441 0.250990887721231
10 PN1 M 13.0667131844498 11.8069689128884 12.4368410486691 0.621504517401752 0.55602136881329 0.245965252846429
10 PN1 F 13.0796560525838 11.7735211322948 12.4265885924393 0.613935502139223 0.603425077295455 0.255894641607181
11 PN1 M 13.2401875593816 11.9569530629889 12.5985703111852 0.538389934240138 0.531088466971486 0.210640685967643
11 PN1 F 13.2443959689052 11.9591923299337 12.6017941494195 0.518152139462056 0.555679905447141 0.208951564561678
12 PN1 M 13.5501720841826 12.0604260522423 12.8052990682124 0.534545171151607 0.585500143255951 0.214311168951837
12 PN1 F 13.5605734088372 12.0680013348213 12.8142873718293 0.556872603775482 0.565397402677005 0.208634202614031
13 PN1 M 13.5282719220121 12.2373070527228 12.8827894873675 0.57799111027452 0.516686197823974 0.20782875546209
13 PN1 F 13.5283603486077 12.2261459111956 12.8772531299017 0.549565502307238 0.511023116474832 0.19915635234424
14 PN1 M 13.6848662290205 12.3929068310926 13.0388865300565 0.504618712530744 0.581836997115932 0.198604594961604
14 PN1 F 13.6748658823984 12.4020683455572 13.0384671139778 0.497328042670834 0.577144725173296 0.197188644641664
15 PN1 M 13.9387031322675 12.5100460920615 13.2243746121645 0.54997063475682 0.567567373017157 0.218600682284362
15 PN1 F 13.9459700816824 12.5148710715916 13.230420576637 0.528556597971839 0.583848859371047 0.216637445643278
16 PN1 M 14.0718882222775 12.7065663055337 13.3892272639056 0.521177588704715 0.527244001854994 0.200860473555465
16 PN1 F 14.0924982592993 12.7060780281445 13.3992881437219 0.554172128117559 0.513426676118696 0.198421448946388
17 PN1 M 14.2371384624462 12.7634202883965 13.5002793754213 0.530006281087311 0.515641107208836 0.193483616353251
17 PN1 F 14.2309623289663 12.757918385276 13.4944403571211 0.527261590617463 0.495625728954692 0.190834473403003
18 PN1 M 14.3437854513862 12.8621261531384 13.6029558022623 0.566260157325332 0.46273039580327 0.196032297392082
18 PN1 F 14.3676858610821 12.8495421285973 13.6086139948397 0.552779657396011 0.483344590249765 0.197923536364809
19 PN1 M 14.4449723169818 12.9246852217966 13.6848287693892 0.564918181137656 0.473008457665495 0.198206899779561
19 PN1 F 14.4643471341345 12.9278824082336 13.696114771184 0.550642184848825 0.485806393330972 0.194891216452713
20 PN1 M 14.6430166617608 13.0862656208611 13.864641141311 0.551340745146779 0.514121624889015 0.207117545798931
20 PN1 F 14.6361776571548 13.1106543790346 13.8734160180947 0.543542586300047 0.495907523001586 0.202784032373687
