ORderZapLakt OrderMleko ORderDIM OrderBeljOds
10862 9624 10253 32717
2475 5825 9892 2992
13087 7177 3984 8897
9892 4950 7177 2092
6670 13087 32527 7128
2295 32527 8897 16217
3262 178 86 6658
4257 9072 9072 9892
5347 7480 3497 15631
15631 3497 5825 7871
150 2295 15631 13035
86 1171 9690 7480
6658 2092 2992 9690
178 3984 9570 6670
10253 32749 2475 5347
11685 9570 16217 31051
4725 4257 6658 921
7871 15631 150 3984
4950 8060 32749 9570
1171 150 32717 5825
31051 5347 4257 4950
8946 143 9624 178
2092 8180 11685 4257
9624 11685 8180 4128
9570 86 7128 9624
7128 2992 30033 11685
8897 921 13035 32749
4128 31051 10862 8946
32749 6658 1171 3262
8180 7128 921 8180
32717 10253 31051 32527
143 13035 4725 143
32527 30033 7480 13087
5825 16217 4950 2295
7480 7871 3262 7177
3984 4725 143 150
9690 6670 5347 3497
3497 9892 8060 8060
8060 2475 7871 30033
9072 4128 2092 1171
16217 8946 4128 10253
13035 32717 178 9072
921 10862 13087 4725
7177 3262 6670 10862
2992 9690 2295 2475
30033 8897 8946 86
