Herd1 Herd2 SumAsq
1 NA NA NA
2 82 82 11358.2366768954
3 82 20 27204.8924305117
4 82 12 31497.4538591293
5 82 60 25677.501338351
6 82 24 20276.7759115357
7 82 98 22133.9127451122
8 82 37 36321.6403306298
9 82 19 33240.5737985989
10 82 28 29266.3278699121
11 82 35 22179.1462028115
12 82 48 25877.9520326796
13 82 14 20509.9147175137
14 82 30 26266.4769718886
15 82 67 20800.6142606117
16 82 33 25249.0112350023
17 82 42 22839.431952426
18 82 87 18653.5606824368
19 82 65 25338.5361305091
20 82 77 44131.9071945742
21 82 75 22764.7036635645
22 82 78 30725.7445624245
23 82 13 30774.3263673978
24 82 73 36167.8166191728
25 82 34 28685.6564228448
26 82 39 20645.487095458
27 82 89 20434.7325143922
28 82 81 23352.0050446752
29 82 68 27178.7696114817
30 82 40 21391.360585989
31 82 91 20319.251965632
32 82 66 21644.9074202869
33 82 61 29992.274089476
34 82 7 21499.8709350234
35 82 46 27549.0211140294
36 82 92 42928.5179099859
37 82 63 37573.9360030855
38 82 53 23561.5220451721
39 82 41 23773.1313537811
40 82 71 21379.2547146515
41 82 62 24139.5352671331
42 82 90 29638.1958483849
43 82 26 19569.0823403378
44 82 59 22750.700797987
45 82 15 20368.122440627
46 82 9 29782.2952806246
47 82 36 28576.1129144997
48 82 1 31541.1628894525
49 82 51 29730.6202193023
50 82 25 22205.5309813572
51 82 94 21591.9310880763
52 82 43 28211.3208941525
53 82 27 24674.483402089
54 82 88 30040.6456967552
55 82 57 29860.5866174206
56 82 56 29902.2911925709
57 82 21 18823.6562029158
58 82 97 20298.6825958424
59 82 76 28886.2029728432
60 82 11 34856.9852861041
61 82 3 26506.0227994196
62 82 86 32743.9703072556
63 82 18 32971.5318266111
64 82 49 29946.8273023777
65 82 55 31903.2788333608
66 82 70 32013.4602153483
67 82 80 22789.3882104844
68 82 69 28087.4736426907
69 82 95 18815.7514911596
70 82 64 29210.176762806
71 82 8 24039.8399521323
72 82 74 20909.7097790877
73 82 32 30675.8633751315
74 82 83 20172.7245207905
75 82 29 32342.3382890363
76 82 93 22235.8307715182
77 82 72 25812.6952849857
78 82 100 25074.5825029209
79 82 99 24620.5659036454
80 82 22 24278.5950091771
81 82 58 27114.6507484007
82 82 96 31739.0484929115
83 82 17 25985.7700844524
84 82 10 22978.2493149728
85 82 6 28039.6682553861
86 82 4 18995.984350644
87 82 5 18554.0835592973
88 82 79 25576.9981978278
89 82 38 29777.2479439636
90 82 54 21723.8645817046
91 82 47 24857.9426053421
92 82 52 24012.590477872
93 82 50 43111.1405787015
94 82 16 29761.2208108128
95 82 85 38485.7444883691
96 82 45 54632.0981735451
97 82 44 33503.9807833448
98 82 31 34069.0416222309
99 82 2 28822.4791427561
100 82 84 37235.0109577837
101 82 23 28313.2321532594
102 20 82 27204.8924305117
103 20 20 3594.09091337216
104 20 12 17157.5985678326
105 20 60 12892.6250785966
106 20 24 9159.05508508971
