Generation,Indiv,Father,Mother,EBV
1,1,0,0,0.451683300726
1,2,0,0,0.598564666746
1,3,0,0,0.632291416574
1,4,0,0,0.902113947652
1,5,0,0,0.462363061079
1,6,0,0,0.802236455527
1,7,0,0,1.10367569477
1,8,0,0,1.3999086659
1,9,0,0,1.07064835077
1,10,0,0,0.505965390212
1,11,0,0,1.21044816606
1,12,0,0,0.281948117266
1,13,0,0,0.15913724852
1,14,0,0,0.934484045769
1,15,0,0,0.367792414287
1,16,0,0,1.47922313076
1,17,0,0,0.854035088468
1,18,0,0,0.840542913708
1,19,0,0,1.45101512129
1,20,0,0,0.527684522361
1,21,0,0,0.0282725008448
1,22,0,0,0.969412999885
1,23,0,0,0.955215006072
1,24,0,0,1.16312363984
1,25,0,0,0.925819822466
1,26,0,0,0.41329454262
1,27,0,0,0.12929506907
1,28,0,0,1.20844411357
1,29,0,0,0.999566718529
1,30,0,0,0.779684605523
1,31,0,0,0.618744848398
1,32,0,0,0.342357847416
1,33,0,0,1.04666847469
1,34,0,0,0.0220887471215
1,35,0,0,0.723232325402
1,36,0,0,1.4071974199
1,37,0,0,0.101030854196
1,38,0,0,1.26272166504
1,39,0,0,1.42346140703
1,40,0,0,1.03686203167
1,41,0,0,0.750154389152
1,42,0,0,0.388815033847
1,43,0,0,0.249830216014
1,44,0,0,0.192529363695
1,45,0,0,0.829615590893
1,46,0,0,0.238065122451
1,47,0,0,0.942404125829
1,48,0,0,0.84246208402
1,49,0,0,0.0539903336593
1,50,0,0,0.32991315498
1,51,0,0,0.84647253519
1,52,0,0,0.196462398667
1,53,0,0,1.07234727021
1,54,0,0,0.735456669817
1,55,0,0,0.496967256755
1,56,0,0,1.30541196223
1,57,0,0,0.74690760085
1,58,0,0,1.28519344495
1,59,0,0,0.829588592183
1,60,0,0,0.846426710355
1,61,0,0,0.237444300231
1,62,0,0,1.15386767129
1,63,0,0,0.671961224813
1,64,0,0,0.73284922159
1,65,0,0,0.520688302395
1,66,0,0,0.327309609229
1,67,0,0,1.28185776932
1,68,0,0,1.21195168557
1,69,0,0,1.21263491622
1,70,0,0,0.15377658303
1,71,0,0,1.17219507563
1,72,0,0,0.169026770422
1,73,0,0,1.40179348627
1,74,0,0,0.209296690634
1,75,0,0,0.813998912812
1,76,0,0,0.758598959355
1,77,0,0,0.0917390253774
1,78,0,0,1.03910523387
1,79,0,0,0.115628677436
1,80,0,0,0.39035207545
1,81,0,0,0.236329851917
1,82,0,0,0.443057882004
1,83,0,0,0.254138481595
1,84,0,0,0.210808881234
1,85,0,0,1.26936723889
1,86,0,0,1.14958609866
1,87,0,0,0.0995094917832
1,88,0,0,1.07630899746
1,89,0,0,1.06847598364
1,90,0,0,0.12854472789
1,91,0,0,1.24673153551
1,92,0,0,0.441299174244
1,93,0,0,1.44608921897
1,94,0,0,0.7067414659
1,95,0,0,0.0449660594372
1,96,0,0,1.02793267409
1,97,0,0,0.366575839399
1,98,0,0,0.0923152251503
1,99,0,0,0.0257465499388
1,100,0,0,0.356282354295
1,101,0,0,0.423669678445
1,102,0,0,0.0236261817418
1,103,0,0,0.653504795272
1,104,0,0,0.0519441579222
1,105,0,0,1.06233376631
1,106,0,0,0.542670610582
1,107,0,0,0.807725282052
1,108,0,0,1.09020913389
1,109,0,0,0.820325307189
1,110,0,0,1.12129975759
1,111,0,0,1.33586069891
1,112,0,0,0.978635621067
1,113,0,0,0.443924511857
1,114,0,0,0.6140997135
1,115,0,0,1.14820745705
1,116,0,0,1.06067639874
1,117,0,0,0.245780299231
1,118,0,0,1.34114996336
1,119,0,0,0.167345381481
1,120,0,0,0.921877739087
1,121,0,0,0.567475076197
1,122,0,0,0.278357443574
1,123,0,0,1.45340409572
1,124,0,0,1.07105521179
1,125,0,0,0.365827072688
1,126,0,0,0.703951695695
1,127,0,0,0.108310846053
1,128,0,0,0.0669338846319
1,129,0,0,1.21187392443
1,130,0,0,0.419872439871
1,131,0,0,0.587985879862
1,132,0,0,0.105903380928
1,133,0,0,1.09000571599
1,134,0,0,0.563828961187
1,135,0,0,1.04157828389
1,136,0,0,0.15196016364
1,137,0,0,1.17598414532
1,138,0,0,0.494438521524
1,139,0,0,0.927938892494
1,140,0,0,0.0858797786125
1,141,0,0,0.573167480714
1,142,0,0,1.10379824771
1,143,0,0,1.01594683437
1,144,0,0,0.658745421093
1,145,0,0,0.722566088551
1,146,0,0,1.25908408605
1,147,0,0,0.621104352481
1,148,0,0,0.50390760592
1,149,0,0,1.23186249725
1,150,0,0,0.149297662082
1,151,0,0,0.472087220007
1,152,0,0,1.15831672905
1,153,0,0,0.853800384518
1,154,0,0,0.0983714992469
1,155,0,0,0.562340909388
1,156,0,0,0.558316295985
1,157,0,0,0.194886667199
1,158,0,0,1.19813809074
1,159,0,0,1.23382703349
1,160,0,0,0.6698423435
1,161,0,0,1.14568223335
1,162,0,0,0.394521680274
1,163,0,0,1.22346225817
1,164,0,0,0.355280122338
1,165,0,0,1.42471542856
1,166,0,0,0.765977440355
1,167,0,0,0.0491771364806
1,168,0,0,0.422293771511
1,169,0,0,1.31721849343
1,170,0,0,0.781910849491
1,171,0,0,0.190013885153
1,172,0,0,1.28879639348
1,173,0,0,0.173471436976
1,174,0,0,0.672351425263
1,175,0,0,0.754402016972
1,176,0,0,0.822555707561
1,177,0,0,0.688076716821
1,178,0,0,1.28502158072
1,179,0,0,0.227048896269
1,180,0,0,1.42096122176
1,181,0,0,1.32510301358
1,182,0,0,0.730380041578
1,183,0,0,0.807164373216
1,184,0,0,0.0742329753064
1,185,0,0,0.931750885434
1,186,0,0,0.900226040554
1,187,0,0,1.11117631455
1,188,0,0,0.0549773091049
1,189,0,0,1.0518240743
1,190,0,0,1.13275119784
1,191,0,0,0.0621635452709
1,192,0,0,0.0566666854127
1,193,0,0,0.0292529326677
1,194,0,0,0.209382994772
1,195,0,0,0.672435217518
1,196,0,0,1.00595600479
1,197,0,0,0.161738933571
1,198,0,0,0.934415464812
1,199,0,0,0.214092038602
1,200,0,0,0.296254850482
1,201,0,0,0.988595798723
1,202,0,0,1.46065804212
1,203,0,0,1.4996121431
