Herd1 Herd2 SumA
1 NA NA NA
2 82 82 14590.234914
3 82 20 35161.067233
4 82 12 40839.09819
5 82 60 33028.679347
6 82 24 26130.416877
7 82 98 28563.411574
8 82 37 46818.763076
9 82 19 42986.662821
10 82 28 37914.585738
11 82 35 28695.257544
12 82 48 33380.837663
13 82 14 26581.746901
14 82 30 33975.730845
15 82 67 26771.87884
16 82 33 32638.505538
17 82 42 29652.285548
18 82 87 24193.205869
19 82 65 32695.828071
20 82 77 57097.068673
21 82 75 29391.745633
22 82 78 39715.779142
23 82 13 39747.085193
24 82 73 46715.581902
25 82 34 37062.468487
26 82 39 26672.41675
27 82 89 26333.401843
28 82 81 30094.203003
29 82 68 35025.41606
30 82 40 27562.641994
31 82 91 26158.157704
32 82 66 27931.525899
33 82 61 38750.236048
34 82 7 27632.531837
35 82 46 35615.660082
36 82 92 55431.970196
37 82 63 48441.391207
38 82 53 30336.501856
39 82 41 30690.587022
40 82 71 27451.692725
41 82 62 31144.357201
42 82 90 38279.545442
43 82 26 25176.61274
44 82 59 29383.156685
45 82 15 26289.661937
46 82 9 38492.048597
47 82 36 36866.005359
48 82 1 40618.491264
49 82 51 38337.957327
50 82 25 28503.37919
51 82 94 27795.958312
52 82 43 36395.927564
53 82 27 31820.429301
54 82 88 38784.140968
55 82 57 38421.102319
56 82 56 38448.275181
57 82 21 24206.084379
58 82 97 26144.030326
59 82 76 37310.325047
60 82 11 44937.265223
61 82 3 34129.154009
62 82 86 42147.955519
63 82 18 42425.560916
64 82 49 38721.890205
65 82 55 41102.185493
66 82 70 41298.354177
67 82 80 29407.267075
68 82 69 36080.667163
69 82 95 24202.728402
70 82 64 37516.232932
71 82 8 30861.532791
72 82 74 26943.153757
73 82 32 39559.88633
74 82 83 25962.645767
75 82 29 41637.531125
76 82 93 28627.905902
77 82 72 33339.912693
78 82 100 32300.086326
79 82 99 31674.606702
80 82 22 31234.83552
81 82 58 34867.465172
82 82 96 40872.662856
83 82 17 33451.502297
84 82 10 29636.336824
85 82 6 36165.515565
86 82 4 24416.109278
87 82 5 23840.493697
88 82 79 32963.256502
89 82 38 38244.874465
90 82 54 27985.329052
91 82 47 32050.104965
92 82 52 30844.684039
93 82 50 55550.363864
94 82 16 38235.735453
95 82 85 49439.560808
96 82 45 70289.510028
97 82 44 43157.330309
98 82 31 43777.193743
99 82 2 37151.152078
100 82 84 47946.570668
101 82 23 36463.397746
102 20 82 35161.067233
103 20 20 4568.500272
104 20 12 22188.722267
105 20 60 16510.950318
106 20 24 11752.153348
107 20 98 13426.620137
108 20 37 26607.355538
109 20 19 23759.28378
110 20 28 20046.145034
111 20 35 13509.048435
112 20 48 16774.459136
113 20 14 12087.524854
114 20 30 17207.79827
115 20 67 12190.509142
116 20 33 16251.326303
117 20 42 14194.750101
118 20 87 10494.33734
119 20 65 16302.900143
120 20 77 34512.819992
121 20 75 13983.804833
122 20 78 21354.987634
123 20 13 21374.11028
124 20 73 26520.231361
125 20 34 19427.462289
126 20 39 12122.018595
127 20 89 11890.361241
128 20 81 14469.727565
129 20 68 17946.857706
130 20 40 12727.029252
131 20 91 11776.40618
132 20 66 12974.824519
133 20 61 20648.449237
134 20 7 12771.830338
135 20 46 18370.911895
