Name,Reference,G_P,NoControl,PotomciNPPerYear,telMPerYear,FemalePerYear,Total,MaleSelection,Update,diffGenoSize,YearGeno,MaleTotal,,I,
True10_1_1,True,1_1,10,45,0,310,355,True,False,False,0,45,11.1111111111111%,,
True9_1_1,True,1_1,9,45,55,700,800,True,False,False,0,100,5%,,
True8_1_1,True,1_1,8,45,120,1180,1345,True,False,False,0,165,3.03030303030303%,,
True5_1_1,True,1_1,5,45,420,3230,3695,True,False,False,0,465,1.0752688172043%,,
True2_1_1,True,1_1,2,45,880,3849,4774,True,False,False,0,925,0.540540540540541%,2.86,
True1_1_1,True,1_1,1,45,1080,3849,4974,True,False,False,0,1125,0.444444444444444%,2.93,
True10_2_1,True,2_1,10,22,0,160,182,True,False,False,0,22,22.7272727272727%,,
True9_2_1,True,2_1,9,45,5,350,400,True,False,False,0,50,10%,,
True8_2_1,True,2_1,8,45,40,590,675,True,False,False,0,85,5.88235294117647%,,
True5_2_1,True,2_1,5,45,190,1610,1845,True,False,False,0,235,2.12765957446808%,,
True2_2_1,True,2_1,2,45,420,3230,3695,True,False,False,0,465,1.0752688172043%,,
True1_2_1,True,2_1,1,45,520,3849,4414,True,False,False,0,565,0.884955752212389%,2.7,
True10_1_2,True,1_2,10,45,45,620,710,True,False,False,0,90,5.55555555555556%,,
True9_1_2,True,1_2,9,45,250,1400,1695,True,False,False,0,295,1.69491525423729%,,
True8_1_2,True,1_2,8,45,290,2360,2695,True,False,False,0,335,1.49253731343284%,,
True5_1_2,True,1_2,5,45,880,3849,4774,True,False,False,0,925,0.540540540540541%,,
True2_1_2,True,1_2,2,45,1800,3849,5694,True,False,False,0,1845,0.2710027100271%,,
True1_1_2,True,1_2,1,45,2200,3849,6094,True,False,False,0,2245,0.22271714922049%,3.14,
False10_1_1,False,1_1,10,45,0,310,355,True,False,2000,5,45,,,
False9_1_1,False,1_1,9,45,55,700,800,True,False,2000,2,100,,,
False8_1_1,False,1_1,8,45,120,1180,1345,True,False,2000,1,165,,,
False5_1_1,False,1_1,5,45,420,3230,3695,True,False,2000,0,465,,,5
False2_1_1,False,1_1,2,45,880,3849,4774,True,False,2000,0,925,,,
False1_1_1,False,1_1,1,45,1080,3849,4974,True,False,2000,0,1125,,,
False10_2_1,False,2_1,10,22,0,160,182,True,False,2000,10,22,,,
False9_2_1,False,2_1,9,45,5,350,400,True,False,2000,5,50,,,
False8_2_1,False,2_1,8,45,40,590,675,True,False,2000,2,85,,,
False5_2_1,False,2_1,5,45,190,1610,1845,True,False,2000,1,235,,,
False2_2_1,False,2_1,2,45,420,3230,3695,True,False,2000,0,465,,,
False1_2_1,False,2_1,1,45,520,3849,4414,True,False,2000,0,565,,,
False10_1_2,False,1_2,10,45,45,620,710,True,False,2000,2,90,,,
False9_1_2,False,1_2,9,45,250,1400,1695,True,False,2000,1,295,,,
False8_1_2,False,1_2,8,45,290,2360,2695,True,False,2000,0,335,,,
False5_1_2,False,1_2,5,45,880,3849,4774,True,False,2000,0,925,,,
False2_1_2,False,1_2,2,45,1800,3849,5694,True,False,2000,0,1845,,,
False1_1_2,False,1_2,1,45,2200,3849,6094,True,False,2000,0,2245,,,
