ID	Rejec	IME	r	k20	a30	KoagRazred	Mascoba	proteini	Laktoza	SS	ZmrzTocka	Urea	SSC	KapaKazein	Datum	Z	CRE_SIFRA_CREDA	STLAKT	DAT_TELITVE	DIM
03869572	Popic	Mima	931	112	46	A	4.17	4.15	4.57	9.44	-0.529	13.3	273	BB	2017-11-07	zjutraj	7480	4	2017-04-22 01:00:00	199
04018621	Pececnik	Rika	907.5	92.5	49.5	A	5.86	4.35	4.36	9.44	-0.524	23.7	171	AB	2017-10-16	zjutraj	7177	3	2016-11-02 00:00:00	348
04022514	Lesjak	Bajka	992	107	41	A	4.88	4.08	4.27	9.08	-0.525	23.3	536	BB	2017-10-18	zjutraj	5347	4	2017-04-07 01:00:00	194
04052690	Verdel	Sirena	1167	121	47	B	4.58	3.59	4.44	8.76	-0.526	11.9	259	BB	2017-10-25	zvecer	30033	3	2017-05-01 01:00:00	177
04151689	Verdev	Poka	974	203	39	A	4.46	3.71	4.27	8.71	-0.524	7.2	2335		2017-10-26	zjutraj	9624	4	2017-07-23 01:00:00	95
04153760	Tajnik	Juna	1457	135	29	B	4.35	3.46	4.5	8.68	-0.525	10.5	590	AB	2017-10-23	zvecer	16217	3	2017-06-12 01:00:00	133
04184548	Tajnik	Lolita	1184	124.5	39.5	B	5.8	3.9	4.47	9.1	-0.534	6.9	1450	BB	2017-10-23	zvecer	16217	3	2016-08-18 01:00:00	431
04195641	Verdev	Drona	974	175	47	A	4.41	3.71	4.39	8.83	-0.522	6.2	108		2017-10-26	zjutraj	9624	3	2017-04-03 01:00:00	206
04241003	Oblak	Sava	1048.5	189	41	A	4.58	3.59	4.44	8.76	-0.526	11.9	259	AA	2017-10-24	zvecer	6658	3	2017-02-10 00:00:00	256
04298067	Marolt	Sisi	877	100	47	A	4.35	4.25	4.56	9.54	-0.532	22.8	424	BB	2017-10-26	zvecer	5825	3	2017-07-31 01:00:00	87
04298524	Verdev	Višnja	643	151	44	D	3.57	3.7	4.76	9.19	-0.537	13.4	36		2017-10-26	zjutraj	9624	2	2017-07-25 01:00:00	93
04301932	Rakun	Zatra	740	113	46	A	4.01	3.49	4.55	8.76	-0.522	18.8	66	BB	2017-11-06	zjutraj	7871	2	2017-06-28 01:00:00	131
04302029	Brecl	Voda	550.5	105	48.5	D	3.59	3.67	4.83	9.24	-0.531	7.8	108	BB	2017-10-20	zvecer	921	1	2016-10-17 01:00:00	368
04364070	Oblak	Smola	1333	220	34	B	6.01	3.55	4.47	8.75	-0.517	9.9	121	BB	2017-10-24	zvecer	6658	2	2017-08-10 01:00:00	75
04381460	Kramer	Bajka	1531	7.5	17	F	3.73	3.62	3.07	4.69	8.49	-0.519	13.7	AA	2017-11-08	zjutraj	4725	2	2017-10-03 01:00:00	36
04391892	Oblak	Coka	0	0	0	F	5.47	4.46	4.36	9.55	-0.518	3	3391	AB	2017-10-24	zvecer	6658	2	2017-09-14 01:00:00	40
04415657	Pececnik	Ona	961	106	38.5	A	3.72	3.59	4.89	9.2	-0.523	17.6	31	BB	2017-10-16	zjutraj	7177	1	2016-04-13 01:00:00	551
04494139	Arlic	Hojka	999	113	48	A	4.9	4.21	4.59	9.53	-0.521	8	100	BB	2017-11-09	zjutraj	178	1	2017-01-24 00:00:00	289
04496069	Verdel	Zana	838.5	96.5	45	A	4.37	3.83	4.55	9.11	-0.524	5.8	605	cb	2017-10-25	zvecer	30033	2	2017-06-19 01:00:00	128
04500980	Rakun	Zala	780	112	46	A	4.18	3.35	4.73	8.81	-0.527	20.7	7	AB	2017-11-06	zjutraj	7871	1	2017-02-26 00:00:00	253
13615468	Popic	Simba	917	124	40	A	3.95	3.59	4.13	8.45	-0.523	14.8	204	BB	2017-11-07	zjutraj	7480	6	2017-04-05 01:00:00	216
13752365	Tajnik	Dalica	930	113.5	34	A	3.7	2.8	4.75	8.28	-0.524	13.8	79	AB	2017-10-23	zvecer	16217	5	2017-08-08 01:00:00	76
13869571	Popic	Mula	915	101	41	A	3.9	3.6	4.13	8.46	-0.523	16.2	210	BB	2017-11-07	zjutraj	7480	5	2017-10-26 01:00:00	12
14155589	Pececnik	Bistra	1213	106	38	B	3.92	3.61	4.75	9.09	-0.533	23	85	BB	2017-10-16	zjutraj	7177	4	2017-08-29 01:00:00	48
14191749	Verdev	Zoja	1028	165	42	A	3.76	3.72	4.87	9.32	-0.537	15.4	25		2017-10-26	zjutraj	9624	3	2017-04-29 01:00:00	180
14217070	Popic	Camila	662	95	44	A	3.91	3.41	4.64	8.78	-0.52	9.5	26	BB	2017-11-07	zjutraj	7480	3	2017-10-02 01:00:00	36
14242625	Tajnik	Jagoda	845	108.5	38	A	3.91	3.49	4.8	9.02	-0.525	12.5	83	AB	2017-10-23	zvecer	16217	3	2017-05-08 01:00:00	168
14294048	Popic	Strina	717	89	41	A	5.66	5.06	4.63	10.42	-0.533	10.4	321	AB	2017-11-07	zjutraj	7480	2	2017-02-14 00:00:00	266
14297924	Rakun	Viola	1472	117	29	B	1.18	3.58	4.55	8.86	-0.538	13.4	503	BB	2017-11-06	zjutraj	7871	2	2017-07-04 01:00:00	125
14298066	Marolt	Bona	869.5	122	49.5	A	4.37	3.86	4.54	9.12	-0.531	20.7	91	BB	2017-10-26	zvecer	5825	3	2017-08-01 01:00:00	86
14303098	Knez	Miša	1083	103.5	39.5	B	4.29	3.55	4.44	8.72	-0.513	16.3	94		2017-11-02	zjutraj	3984	2	2017-07-22 01:00:00	103
14349966	Vasle	Dona	1113	97	43.5	B	4.34	3.51	4.44	8.67	-0.523	20.4	90	AA	2017-10-19	zjutraj	11685	2	2017-05-02 01:00:00	170
14413458	Arlic	Soluna	0	0	0	F	5.25	5.03	3.7	9.47	-0.529	7.2	1530	AB	2017-11-09	zjutraj	178	1	2016-10-14 01:00:00	391
14413829	Brecl	Miška	991.5	107.5	41.5	A	4.06	3.85	4.9	9.48	-0.529	14	90	AA	2017-10-20	zvecer	921	1	2016-07-23 01:00:00	454
14496068	Verdel	Dika	692	96	45	A	4.75	3.59	4.8	9.11	-0.526	8.1	67	cb	2017-10-25	zvecer	30033	1	2016-12-05 00:00:00	324
23869570	Popic	Samara	1113.5	119	43.5	B	4.65	4.19	4.31	9.24	-0.521	12	243	BB	2017-11-07	zjutraj	7480	4	2016-07-17 01:00:00	478
24151955	Marolt	Pika	848.5	113.5	48.5	A	3.98	4.21	4.07	9.01	-0.522	19.9	156	AB	2017-10-26	zvecer	5825	4	2017-03-16 00:00:00	224
24153438	Verdev	Jota	974	170	44	A									2017-10-26	zjutraj	9624	4	2017-03-27 01:00:00	213
24217055	Popic	Patria	558.5	109	41.5	D	6.1	3.89	4.17	8.79	-0.518	9.2	5601	AB	2017-11-07	zjutraj	7480	2	2017-05-11 01:00:00	180
24235398	Pececnik	Lutka	1219	115	38	B	4.24	3.74	3.87	8.34	-0.497	10	214	AA	2017-10-16	zjutraj	7177	3	2017-02-15 00:00:00	243
24276670	Vasle	Diva	989.5	109	39	A	4.34	3.23	4.49	8.45	-0.523	10.3	26	BB	2017-10-19	zjutraj	11685	3	2017-08-27 01:00:00	53
24297961	Knez	Sreda	976	113	46	A	3.75	3.95	4.48	9.16	-0.527	16.2	37		2017-11-02	zjutraj	3984	2	2017-05-29 01:00:00	157
24297985	Knez	Mlada	1535	114.5	26	F	4.39	3.78	4.4	8.91	-0.536	17.4	82		2017-11-02	zjutraj	3984	2	2017-07-13 01:00:00	112
24302481	Verdev	Šajana	623	139	48	D	4.02	3.89	4.86	9.47	-0.544	11.1	101		2017-10-26	zjutraj	9624	2	2017-03-30 01:00:00	210
24303114	Verdev	Anica	479	133	57	D	3.92	3.44	4.86	9.04	-0.535	12.8	30		2017-10-26	zjutraj	9624	2	2017-08-12 01:00:00	75
24354127	Lesjak	Meta	726	104	48	A	3.95	3.48	4.56	8.78	-0.526	27.2	225	AB	2017-10-18	zjutraj	5347	2	2017-08-03 01:00:00	76
24374912	Oblak	Biba	1188	102	40	B	5.32	3.94	4.55	9.22	-0.525	5.5	148	BB	2017-10-24	zvecer	6658	2	2017-03-24 00:00:00	214
24415930	Tajnik	Lavanda	1159	101	38	B	3.74	3.15	4.52	8.4	-0.522	4.5	848	BB	2017-10-23	zvecer	16217	2	2017-09-24 01:00:00	29
24446983	Verdev	Latina	754	189	39	A	5.31	3.29	4.58	8.6	-0.523	3.9	710		2017-10-26	zjutraj	9624	1	2017-08-24 01:00:00	63
24496012	Verdel	Svita	666	111	45	A	6.01	3.55	4.47	8.75	-0.517	9.9	121	AB	2017-10-25	zvecer	30033	2	2017-06-04 01:00:00	143
24503149	Knez	Sreca	1082.5	101	40.5	B	4.29	3.58	4.75	9.06	-0.531	18.3	9		2017-11-02	zjutraj	3984	1	2017-07-29 01:00:00	96
24565406	Pececnik	Živa	1289	97	44	B	4.69	3.93	4.53	9.19	-0.528	19	16	BB	2017-10-16	zjutraj	7177	1	2017-01-23 00:00:00	266
33489050	Kramer	Skorja	1335	124	38	B	4.07	3.95	3.26	4.76	8.75	-0.52	15.4	AB	2017-11-08	zjutraj	4725	6	2017-07-07 01:00:00	124
33608673	Verdev	Mira	772	160	44	A	6.5	3.72	4.59	9.04	-0.523	11.6	62		2017-10-26	zjutraj	9624	6	2017-05-01 01:00:00	178
33653408	Oblak	Sivka	1319.5	96	42	B	5.62	3.45	4.57	8.75	-0.518	9.2	178	AB	2017-10-24	zvecer	6658	6	2017-06-19 01:00:00	127
33745635	Popic	Mura	793	96	45.5	A	5.22	4.52	4.09	9.34	-0.523	15.6	246	BB	2017-11-07	zjutraj	7480	5	2017-06-25 01:00:00	135
33751032	Jan	Bruna	1083	128.5	27.5	B	3.86	2.98	4.08	7.79	-0.507	12.2	764	AA	2017-11-08	zjutraj	3262	4	2017-01-21 00:00:00	291
33882604	Popic	Soda	1043	102.5	42	A	4.6	4.02	4.37	9.11	-0.527	20.5	160	AB	2017-11-07	zjutraj	7480	4	2017-01-22 00:00:00	289
33951775	Lesjak	Diva	831	96	45	A	4.71	3.93	4.43	9.08	-0.52	14.4	264	BB	2017-10-18	zjutraj	5347	4	2017-04-24 01:00:00	177
34023282	Verdev	Julcka	1005	130	50	A	3.89	4.25	4.34	9.32	-0.528	6.5	82		2017-10-26	zjutraj	9624	3	2016-12-07 00:00:00	323
34024719	Arlic	Senka	610	98	48	D	4.41	3.42	4.68	8.83	-0.523	13.1	21	BB	2017-11-09	zjutraj	178	4	2017-09-19 01:00:00	51
34038059	Popic	Sreda	709.5	95.5	38	A	4.15	3.11	4.81	8.65	-0.528	8.5	147	BB	2017-11-07	zjutraj	7480	4	2017-10-12 01:00:00	26
34056220	Popic	Saša	1227.5	123.5	39	B	2.95	3.77	4.55	9.06	-0.52	8.4	170	BB	2017-11-07	zjutraj	7480	3	2016-11-13 00:00:00	359
34101502	Kramer	Sivka	680.5	104.5	46	A	4.59	4.46	3.44	4.64	8.81	-0.531	16	BB	2017-11-08	zjutraj	4725	2	2017-02-21 00:00:00	260
34184514	Tajnik	Bata	806	130	48	A	3.86	3.11	4.55	8.39	-0.522	15.2	59	AB	2017-10-23	zvecer	16217	3	2017-07-25 01:00:00	90
34184590	Knez	Smrketa	1365	110	29	B	4.37	3.05	4.69	8.48	-0.523	31.3	99		2017-11-02	zjutraj	3984	3	2017-10-06 01:00:00	27
34294046	Popic	Sloka	551	106	49.5	D	4.5	4.11	4.44	9.27	-0.528	10.9	170	BB	2017-11-07	zjutraj	7480	2	2017-02-21 00:00:00	259
34294060	Popic	Maxima	655.5	105	46.5	D	4.22	3.41	4.76	8.9	-0.521	16.4	40	BB	2017-11-07	zjutraj	7480	2	2017-08-27 01:00:00	72
34297953	Jan	Reka	687	103	44	A	4.72	3.38	4.39	8.5	-0.525	9	116	BB	2017-11-08	zjutraj	3262	2	2017-05-05 01:00:00	187
34418822	Verdel	Struna	732	98	49	A	5.47	4.46	4.36	9.55	-0.518	3	3391	AB	2017-10-25	zvecer	30033	2	2017-05-03 01:00:00	175
34496011	Verdel	Sova	990	103	43	A	5.32	3.94	4.55	9.22	-0.525	5.5	148	AA	2017-10-25	zvecer	30033	1	2016-10-01 01:00:00	389
34505449	Marolt	Prada	793	98	49	A	4.82	4.74	4.74	10.2	-0.536	30.9	62	AB	2017-10-26	zvecer	5825	1	2017-01-25 00:00:00	274
43529007	Kramer	Slina	847	105	41	A	4.37	4.24	3.8	4.59	9.12	-0.535	15.8	BB	2017-11-08	zjutraj	4725	3	2017-03-16 00:00:00	237
43611320	Lesjak	Mravlja	1089	103	43	B	4.29	3.99	4.5	9.22	-0.518	27.2	233	BB	2017-10-18	zjutraj	5347	7	2017-07-02 01:00:00	108
43653177	Vasle	Dora	1519.5	127.5	22	F	4.54	3.28	4.22	8.24	-0.517	11.2	42	BB	2017-10-19	zjutraj	11685	7	2017-05-01 01:00:00	171
43875418	Vasle	Mica	877	114	40	A	3.66	3.18	4.66	8.57	-0.518	15.3	115	BB	2017-10-19	zjutraj	11685	4	2017-06-13 01:00:00	128
43918270	Arlic	Hitra	502	256	46	D	4.39	3.87	4.49	9.09	-0.52	9.6	261	AB	2017-11-09	zjutraj	178	5	2016-11-30 00:00:00	344
43995444	Pececnik	Sidra	0	0	0	F	4.44	3.94	4.2	8.87	-0.522	17	524	BB	2017-10-16	zjutraj	7177	3	2016-08-03 01:00:00	439
44147376	Pececnik	Suxa	837	94.5	43	A	5.99	4.43	4.56	9.72	-0.534	13.4	285	BB	2017-10-16	zjutraj	7177	5	2017-11-07 00:00:00	-22
44155658	Rakun	Vata	754	102	41	A	3.67	2.91	4.46	8.09	-0.517	16.9	537	BB	2017-11-06	zjutraj	7871	3	2017-09-16 01:00:00	51
44181008	Arlic	Soca	656	99	45	D	6.03	4.12	4.16	9.01	-0.517	13	322	BB	2017-11-09	zjutraj	178	4	2017-11-03 00:00:00	6
44191162	Verdev	Oca	632	149	44	D	5.17	3.92	4.51	9.16	-0.53	9.1	42		2017-10-26	zjutraj	9624	3	2017-03-02 00:00:00	238
44191399	Verdel	Lara	1007	106	44	A	5.62	3.45	4.57	8.75	-0.518	9.2	178	BB	2017-10-25	zvecer	30033	3	2017-06-15 01:00:00	132
44217046	Popic	Meka	1074	108.5	38.5	A	4.09	3.44	4.47	8.64	-0.521	8.6	97	AB	2017-11-07	zjutraj	7480	3	2017-08-10 01:00:00	89
44239077	Verdel	Pika	1059.5	127	45.5	A	4.25	3.26	4.44	8.44	-0.519	7.1	112	BB	2017-10-25	zvecer	30033	3	2017-06-14 01:00:00	133
44298609	Arlic	Honda	846.5	122	37	A	5.98	4.12	4.47	9.32	-0.519	11.4	122	AA	2017-11-09	zjutraj	178	2	2017-01-10 00:00:00	303
44349970	Vasle	Dara	640	125	41	D	4.24	3.89	4.51	9.13	-0.528	16	97	AA	2017-10-19	zjutraj	11685	1	2016-10-11 01:00:00	373
44354118	Lesjak	Dasa	778	91	46	A	5.11	3.8	4.58	9.11	-0.517	14.7	127	AB	2017-10-18	zjutraj	5347	1	2017-01-16 00:00:00	275
44380513	Brecl	Vidra	1143.5	101.5	42.5	B	4.18	3.68	4.71	9.13	-0.53	5.8	381	BB	2017-10-20	zvecer	921	1	2016-12-15 00:00:00	309
44381459	Kramer	Soja	701.5	102.5	43	A	4.68	4.54	3.66	4.61	9	-0.527	14.2	AB	2017-11-08	zjutraj	4725	1	2016-09-01 01:00:00	433
44446981	Verdev	Zana	795	149	45	A	4.84	3.7	4.73	9.16	-0.524	5	59		2017-10-26	zjutraj	9624	1	2017-03-02 00:00:00	238
44463814	Pececnik	Surla	1212	107.5	38	B	4.36	3.69	4.7	9.12	-0.528	21.6	65	AB	2017-10-16	zjutraj	7177	1	2016-12-09 00:00:00	311
44502665	Jan	Cita	1474	118	30	B	5.61	3.81	4.51	9.05	-0.529	14.6	55	BB	2017-11-08	zjutraj	3262	1	2016-12-20 00:00:00	323
53186841	Jan	Reneta	831	109	39	A	4.5	3.23	4.51	8.47	-0.518	13.5	320	BB	2017-11-08	zjutraj	3262	7	2017-01-29 00:00:00	283
53529006	Kramer	Spaka	1386	133	27	B	4.56	4.43	3.27	4.71	8.71	-0.52	14.5	AB	2017-11-08	zjutraj	4725	4	2017-07-06 01:00:00	125
53699006	Lesjak	Dika	1411	118.5	32.5	B	4	3.63	4.43	8.79	-0.527	22.6	547	BB	2017-10-18	zjutraj	5347	6	2017-06-20 01:00:00	120
53734372	Oblak	Pika	1606	98	20	F	4.25	3.26	4.44	8.44	-0.519	7.1	112	AB	2017-10-24	zvecer	6658	5	2017-01-29 00:00:00	268
53751030	Jan	Dorina	1241	115	37	B	5.1	4.05	4.17	8.95	-0.522	8.6	195	AB	2017-11-08	zjutraj	3262	5	2016-10-16 01:00:00	388
53861641	Lesjak	Moca	604	104	48	D	3.39	3.68	4.46	8.87	-0.519	21.1	583	AB	2017-10-18	zjutraj	5347	5	2016-11-10 00:00:00	342
54191381	Verdel	Srna	749.5	104.5	46.5	A	5.57	4.32	4.95	10	-0.534	4.9	223	AB	2017-10-25	zvecer	30033	2	2016-07-15 01:00:00	467
54294068	Popic	Magya	1258	115.5	32.5	B	4.49	3.48	4.43	8.64	-0.511	12.8	287	BB	2017-11-07	zjutraj	7480	2	2017-09-09 01:00:00	59
54298574	Arlic	Happy	909.5	117	42	A	4.57	4.24	4.59	9.57	-0.525	9.2	135	AB	2017-11-09	zjutraj	178	2	2017-01-21 00:00:00	292
54307634	Arlic	Helga	793	101.5	41	A	3.89	3.5	4.69	8.91	-0.528	22.8	32	AB	2017-11-09	zjutraj	178	2	2017-10-26 01:00:00	14
54413698	Knez	Mirna	953.5	119.5	45	A	2.73	3.63	4.76	9.12	-0.522	13	150		2017-11-02	zjutraj	3984	2	2017-10-05 01:00:00	28
54424636	Marolt	Sidra	707.5	96.5	46.5	A	4.46	3.9	4.51	9.14	-0.524	23.6	192	AB	2017-10-26	zvecer	5825	1	2017-04-10 01:00:00	199
54424904	Knez	Megi	856	110.5	43.5	A	3.72	3.15	4.66	8.55	-0.514	19.7	336		2017-11-02	zjutraj	3984	1	2017-03-25 00:00:00	222
54463820	Pececnik	Eli	1191.5	121	37.5	B	4.31	3.92	4.62	9.27	-0.524	18.2	39	AB	2017-10-16	zjutraj	7177	1	2016-12-18 00:00:00	302
54497979	Rakun	Zera	1129	104	40	B	5.26	4.15	4.77	9.66	-0.534	16.1	69	BB	2017-11-06	zjutraj	7871	1	2016-12-30 00:00:00	311
63490514	Kramer	Snežka	641	95	43	D	4.96	4.82	3.1	4.44	8.27	-0.501	18.1	AB	2017-11-08	zjutraj	4725	4	2017-07-05 01:00:00	126
63645226	Knez	Muca	1304	132	38	B	2.56	3.81	4.86	9.39	-0.54	20.5	137		2017-11-02	zjutraj	3984	6	2016-04-18 01:00:00	563
63648669	Marolt	Berta	1296	112.5	42	B	4.7	4.41	4.08	9.22	-0.529	30.3	386	AB	2017-10-26	zvecer	5825	5	2016-01-06 00:00:00	659
63753237	Arlic	Saloma	1203.5	123.5	38.5	B	4.73	4.22	4.01	8.96	-0.514	6.9	151	AB	2017-11-09	zjutraj	178	4	2016-08-27 01:00:00	439
63817445	Rakun	Zora	954	114	48	A	4.06	3.59	4.41	8.73	-0.531	14.8	352	BB	2017-11-06	zjutraj	7871	5	2017-02-12 00:00:00	267
63858806	Vasle	Maca	434.5	106	39.5	D	3.46	3.66	4.67	9.06	-0.531	12.8	984	BB	2017-10-19	zjutraj	11685	5	2016-11-26 00:00:00	327
63947511	Arlic	Sakala	1121	110	36.5	B	4.17	3.62	4.37	8.73	-0.532	12.9	88	BB	2017-11-09	zjutraj	178	5	2017-06-27 01:00:00	135
63952467	Verdel	Lepa	738.5	110.5	43	A	4.6	3.19	4.56	8.47	-0.522	10.6	151	cb	2017-10-25	zvecer	30033	4	2017-04-15 01:00:00	193
64014793	Vasle	Dana	1135.5	102	42.5	B	4.01	3.88	4.5	9.11	-0.526	11.8	132	BB	2017-10-19	zjutraj	11685	3	2016-08-04 01:00:00	441
64038056	Popic	Seka	400	75	24	A	4.35	3.7	4.81	9.24	-0.532	11.4	19	AB	2017-11-07	zjutraj	7480	4	2017-07-24 01:00:00	106
64181044	Brecl	Vrba	887.5	0	1	F	3.88	4.25	4.33	9.31	-0.525	10	337	NA	2017-10-20	zvecer	921	3	2017-02-26 00:00:00	236
64217075	Pececnik	Pupa	1001	118	45	A	3.68	3.89	4.63	9.25	-0.53	14.2	111	BB	2017-10-16	zjutraj	7177	2	2016-10-27 01:00:00	354
64294050	Popic	Sama	1048	116	36	B	3.91	3.39	4.28	8.4	-0.525	16.8	189	BB	2017-11-07	zjutraj	7480	2	2017-02-18 00:00:00	262
64294074	Popic	Mala	1192	100	35	B	5.24	4.99	4.65	10.37	-0.528	7.2	117	AB	2017-11-07	zjutraj	7480	1	2016-11-17 00:00:00	355
64298573	Arlic	Seja	877.5	125.5	42	A	5	3.74	4.49	8.96	-0.514	17.8	61	AB	2017-11-09	zjutraj	178	2	2017-04-14 01:00:00	209
64304692	Pececnik	Sabina	1350	110	28	B	4.48	3.22	4.78	8.73	-0.516	11.8	17	AB	2017-10-16	zjutraj	7177	2	2017-07-15 01:00:00	93
64354130	Lesjak	Dama	701.5	104.5	44	A	4.47	3.46	4.77	8.95	-0.521	14.2	90	BB	2017-10-18	zjutraj	5347	1	2016-09-18 01:00:00	395
64415060	Verdel	Bina	574	104	46.5	D	4.2	2.89	4.76	8.38	-0.532	1.6	26	cb	2017-10-25	zvecer	30033	2	2017-06-20 01:00:00	127
64494140	Arlic	Holca	902	139	40	A	4.32	3.46	4.6	8.78	-0.53	11.9	35	AB	2017-11-09	zjutraj	178	1	2016-12-14 00:00:00	330
73750264	Oblak	Cita	1283	109	32.5	B	5.57	4.32	4.95	10	-0.534	4.9	223	AB	2017-10-24	zvecer	6658	6	2017-06-11 01:00:00	135
73856494	Arlic	Sofija	998.5	102.5	43	A	4.17	3.81	4.34	8.87	-0.529	14.7	538	BB	2017-11-09	zjutraj	178	5	2017-04-02 01:00:00	221
