SEKVENCA,SIFRA,ZAPISNIK,DATUM_ZAP,ZAP_ST,DRZ_KRAVE,ST_KRAVE,KG_MLEKA,MASC,BELJ,LAKT,SS,NSS,CELICE,DAT_ANA,CAS_ANA,UREA,ANPRENOS_ID_SEQ,METODA,CAS_KON,VRSTICA,JE_SEQ,ZMRZISCE,AND_ID_SEQ,BHB,ACETON,OPOMBA,RCT,A30,PASMA,DAT_ROJSTVO,MLEKOPV,BELJKGPV,MASCKGPV,BELJODSPV,MASCODSPV,ZAPTEL,DATTEL,Dat_Analiza,Dat_tel,DIM
1244784,30013,555664,2017-11-28,1,SI,82322274,7.6,4.23,4,4.71,9.42,0,595,2017-11-29,NA,0.024,65099383,0,1,NA,NA,0,6762,0,0,NA,0.82,44.91,Rjava,18.10.2001,119.2,119.2,108.7,107.1,122.8,12,02.01.2016,2017-11-28,2016-01-02,696
1321096,22266,555215,2017-11-22,1,SI,12466649,3.2,3.94,3.13,4.58,8.42,0,762,2017-11-24,NA,0.029,65087912,0,2,NA,NA,0,6747,0,0,NA,1.85,37.74,Lisasta,02.03.2002,96.3,99.7,96,92.4,94.7,12,11.08.2017,2017-11-23,2017-08-11,104
1416140,10346,555632,2017-11-28,1,SI,62536840,9.4,3.38,3.26,4.45,8.42,0,85,2017-11-29,NA,0.019,65097235,0,2,NA,NA,0,6756,0.01,-0.08,NA,2.05,38.13,Lisasta,05.09.2002,102.7,103,111.4,101.7,106.1,13,29.07.2017,2017-11-28,2017-07-29,122
1432107,2813,555473,2017-11-27,1,SI,92539651,4.8,4.17,3.5,3.65,7.86,0,1166,2017-11-27,NA,0.011,65091665,0,1,NA,NA,0,6750,0,0,NA,3.02,28.98,Lisasta,05.10.2002,104.3,104.5,95.8,88.3,101.7,10,10.01.2016,2017-11-26,2016-01-10,686
1433091,30850,555326,2017-11-22,1,SI,92550203,4,4.21,3.43,4.14,8.29,0,1647,2017-11-24,NA,0.007,65088949,0,2,NA,NA,0,6747,0.07,0.01,NA,3.12,32.05,Lisasta,04.10.2002,90.9,91.1,84.1,83.8,86.4,12,14.06.2017,2017-11-23,2017-06-14,162
1456764,7777,555745,2017-11-27,1,SI,92565063,2,4.26,5.33,4.24,10.27,0,464,2017-11-30,NA,0.042,65102385,0,2,NA,NA,0,6765,0,0,NA,0,53.93,Rjava,13.12.2002,94.2,92.9,65.9,90.6,82.5,10,18.01.2017,2017-11-29,2017-01-18,315
1462344,15917,555593,2017-11-28,1,SI,22590921,6.2,3.53,3.07,4.72,8.5,0,653,2017-11-29,NA,0.008,65096754,0,2,NA,NA,0,6756,0,0,NA,1.4,43.8,Rjava,10.12.2002,97.7,97.5,110.7,101.9,98.5,10,05.06.2017,2017-11-28,2017-06-05,176
1492906,82253,555654,2017-11-28,1,SI,02604590,5,4.31,4.25,3.73,8.69,0,867,2017-11-29,NA,0.006,65097551,0,2,NA,NA,0,6756,0.05,-0.09,NA,1.44,36.81,Lisasta,05.11.2002,89.3,89.6,107.1,100.9,92.8,10,04.02.2017,2017-11-28,2017-02-04,297
1518999,21260,555154,2017-11-21,1,SI,32637432,4,3.51,4.17,4.52,9.4,0,183,2017-11-23,NA,0.01,65085128,0,1,NA,NA,0,6747,0.02,0,NA,0,48.98,Lisasta,05.04.2003,89.6,88.8,93.2,90.8,87.3,13,20.12.2016,2017-11-22,2016-12-20,337
1575388,20033,555831,2017-11-29,1,SI,42766159,0,4.85,3.68,4.59,8.99,0,105,2017-12-01,NA,0.013,65105290,0,2,NA,NA,0,6765,0.05,-0.02,NA,1.16,45.19,Lisasta,14.08.2003,113.5,116.4,115.4,101.9,121.8,11,12.04.2017,2017-11-30,2017-04-12,232
1641565,13088,555869,2017-11-30,1,SI,72870761,0,2.96,3.51,4.26,8.48,0,240,2017-12-01,NA,0.016,65105932,0,1,NA,NA,0,6765,0,0,NA,1.78,38.72,Holstein,10.01.2004,92.9,97.4,88.2,105.7,86.9,10,25.03.2017,2017-11-30,2017-03-25,250
1645225,21336,555630,2017-11-27,1,SI,62823485,6.8,4.96,5.01,4.7,10.42,0,498,2017-11-29,NA,0.003,65097199,0,1,NA,NA,0,6756,0.23,0.06,NA,0,50.77,Lisasta,26.01.2004,78.1,81.6,91.5,113.6,76,11,16.10.2016,2017-11-28,2016-10-16,408
1660186,8146,555627,2017-11-28,1,SI,92825697,3.6,4.04,3.34,4.24,8.28,0,40,2017-11-29,NA,0.006,65097167,0,1,NA,NA,0,6756,0,0,NA,0.87,46.51,Lisasta,11.03.2004,85,81.5,96.2,64.8,84.3,10,26.06.2017,2017-11-28,2017-06-26,155
1666202,10862,555694,2017-11-27,1,SI,52847804,2.8,4.75,3.75,4.22,8.68,0,228,2017-11-30,NA,0.022,65100773,0,2,NA,NA,0,6762,0,0,NA,0.64,43.32,Rjava,19.03.2004,99.4,103.2,82.2,105.4,92.1,10,10.10.2016,2017-11-29,2016-10-10,415
1691995,8458,555710,2017-11-28,1,SI,62877240,3.6,1.57,3.49,4.91,9.12,0,82,2017-11-30,NA,0.003,65100984,0,2,NA,NA,0,6762,0,0,NA,0.98,44.28,Holstein,18.05.2004,95.2,98.7,100.7,102.8,98.9,7,01.02.2017,2017-11-29,2017-02-01,301
1717558,29184,555364,2017-11-24,1,SI,62882127,0,4.71,3.93,4.5,9.13,0,168,2017-11-24,NA,0.009,65089648,0,2,NA,NA,0,6750,0.05,-0.05,NA,0.03,48.02,Lisasta,07.07.2004,88,93.8,113.2,113.9,91.8,8,08.08.2017,2017-11-23,2017-08-08,107
1744755,1384,555222,2017-11-23,2,SI,82941280,8.4,3.51,2.93,4.67,8.31,0,1256,2017-11-24,NA,0.02,65088007,0,1,NA,NA,0,6747,0,0,NA,2.38,36.65,Lisasta,09.09.2004,100.9,99.4,82.8,89.4,93.7,11,12.07.2017,2017-11-23,2017-07-12,134
1753328,6748,555743,2017-11-28,1,SI,62947831,9.8,3.71,3.52,4.53,8.76,0,89,2017-11-30,NA,0.013,65102358,0,2,NA,NA,0,6765,0,0,NA,1.78,42.52,Lisasta,18.09.2004,91.9,92.5,91.5,90.2,89.5,10,21.11.2017,2017-11-29,2017-11-21,8
1758853,15951,555377,2017-11-24,1,SI,52923081,9.4,4.52,3.96,4.44,9.12,0,223,2017-11-24,NA,0.032,65089930,0,1,NA,NA,0,6750,-0.02,-0.11,NA,0,47.61,Lisasta,25.10.2004,99,101,107.8,111.6,102.8,10,20.06.2017,2017-11-23,2017-06-20,156
1774037,15951,555377,2017-11-24,2,SI,32977501,11.5,4.13,3.38,4.42,8.5,0,7410,2017-11-24,NA,0.022,65089931,0,1,NA,NA,0,6750,0.06,-0.04,NA,1.74,38.52,Lisasta,15.11.2004,107.6,98.9,95.4,75.3,105.7,9,10.11.2017,2017-11-23,2017-11-10,13
1778340,5448,555538,2017-11-26,1,SI,42950756,6.5,4.12,3.91,4.63,9.25,0,225,2017-11-28,NA,0.015,65093801,0,1,NA,NA,0,6753,0,-0.09,NA,0.65,45.36,Lisasta,03.12.2004,145.6,145,85,99,132.4,9,02.12.2016,2017-11-27,2016-12-02,360
1795291,11549,555398,2017-11-24,1,SI,02986856,7.8,4.31,4.22,4.44,9.37,0,60,2017-11-27,NA,0.022,65090907,0,1,NA,NA,0,6750,0,0,NA,0.16,45.79,Lisasta,13.01.2005,99.3,101.2,97.2,119.5,97.2,8,14.05.2017,2017-11-26,2017-05-14,196
1796980,9212,555221,2017-11-22,1,SI,92981838,5.5,3.83,3.28,4.59,8.58,0,256,2017-11-24,NA,0.025,65087993,0,2,NA,NA,0,6747,0,0,NA,2,38.91,Lisasta,21.01.2005,104.1,102.6,81.9,83.5,97.2,9,24.05.2017,2017-11-23,2017-05-24,183
1804207,31673,555417,2017-11-24,1,SI,63002603,9,4.62,3.29,4.74,8.74,0,117,2017-11-27,NA,0.012,65091284,0,1,NA,NA,0,6750,0,0,NA,0.81,44.25,Lisasta,29.01.2005,86.8,85.9,97.5,90.3,87.1,11,05.11.2017,2017-11-26,2017-11-05,21
1807231,1520,555158,2017-11-21,1,SI,92982334,7.8,3.7,3.57,4.66,8.94,0,233,2017-11-23,NA,0.015,65085201,0,1,NA,NA,0,6747,0,0,NA,0,54.6,Rjava,07.02.2005,99.8,104.4,100.3,105.1,101.2,10,12.11.2017,2017-11-22,2017-11-12,10
1813011,8146,555627,2017-11-28,2,SI,92986455,6,2.86,2.97,5.03,8.71,0,35,2017-11-29,NA,0.004,65097168,0,1,NA,NA,0,6756,0,0,NA,1.21,44.29,Lisasta,23.02.2005,88.9,87.9,85,78.2,84.7,11,28.07.2017,2017-11-28,2017-07-28,123
1819370,21248,555421,2017-11-24,1,SI,92990393,10.1,3.28,3.32,4.15,8.18,0,4326,2017-11-27,NA,0.033,65091309,0,1,NA,NA,0,6750,0,0,NA,2.72,32.76,Lisasta,07.03.2005,109.7,109.8,92.1,104.7,104.6,11,22.07.2017,2017-11-26,2017-07-22,127
1843598,10352,555290,2017-11-24,1,SI,92995336,5,5.23,4.58,4.46,9.75,0,111,2017-11-24,NA,0.009,65088550,0,2,NA,NA,0,6747,0,0,NA,0,51.34,Lisasta,24.03.2005,76.4,76.2,95.5,90,75.5,8,01.06.2016,2017-11-23,2016-06-01,540
1953644,20022,555453,2017-11-27,1,SI,93043339,8.1,3.09,2.85,4.11,7.68,0,689,2017-11-27,NA,0.001,65091403,0,1,NA,NA,0,6750,0.05,-0.05,NA,2.46,34.13,Lisasta,25.05.2005,90.9,84.2,84.6,69.4,84.5,10,28.09.2017,2017-11-26,2017-09-28,59
1954823,24244,555852,2017-10-30,1,SI,33041962,0,4.98,4.1,3.68,8.49,0,754,2017-12-01,NA,0.013,65105536,0,1,NA,NA,0,6765,0,0,NA,1.46,39.55,Lisasta,10.06.2005,87.3,88.2,92.3,88.5,85.2,8,26.06.2017,2017-11-30,2017-06-26,157
