SEKVENCA,SIFRA,ZAPISNIK,DATUM_ZAP,ZAP_ST,DRZ_KRAVE,ST_KRAVE,KG_MLEKA,MASC,BELJ,LAKT,SS,NSS,CELICE,DAT_ANA,CAS_ANA,UREA,ANPRENOS_ID_SEQ,METODA,CAS_KON,VRSTICA,JE_SEQ,ZMRZISCE,AND_ID_SEQ,BHB,ACETON,OPOMBA,RCT,A30,PASMA,LETOROJ,MLEKOPV,BELJKGPV,MASCKGPV,BELJODSPV,MASCODSPV,ZAPTEL,DATTEL,Dat_Analiza,Dat_tel,DIM
1022227,8319,556199,2017-12-04,1,SI,62148056,6,5.17,4.12,4.07,8.9,0,491,2017-12-06,NA,0.011,65116823,0,1,NA,NA,0,6784,0,0,NA,0.84,45.23,Rjava,2001,104.7,103.4,99.3,96.3,103.1,13,02.01.2017,2017-12-05,2017-01-02,337
1244784,30013,555664,2017-11-28,1,SI,82322274,7.6,4.23,4,4.71,9.42,0,595,2017-11-29,NA,0.024,65099383,0,1,NA,NA,0,6762,0,0,NA,0.82,44.91,Rjava,2001,119.2,119.2,108.7,107.1,122.8,12,02.01.2016,2017-11-28,2016-01-02,696
1261264,9363,556250,2017-12-05,1,SI,32380769,6.4,3.81,3.44,4.46,8.61,0,411,2017-12-07,NA,0.02,65119919,0,2,NA,NA,0,6784,0,0,NA,1.73,42.2,Lisasta,2001,72,70.1,84.5,69.9,69.8,11,01.04.2017,2017-12-06,2017-04-01,249
1287261,604,556315,2017-12-07,1,SI,52405248,6,5.2,3.71,4.47,8.9,0,927,2017-12-07,NA,0.005,65121882,0,1,NA,NA,0,6791,0.02,-0.05,NA,1.36,46.64,Lisasta,2001,85.4,84.7,102.8,87.9,85.8,12,21.02.2017,2017-12-06,2017-02-21,288
1321096,22266,555215,2017-11-22,1,SI,12466649,3.2,3.94,3.13,4.58,8.42,0,762,2017-11-24,NA,0.029,65087912,0,2,NA,NA,0,6747,0,0,NA,1.85,37.74,Lisasta,2002,96.3,99.7,96,92.4,94.7,12,11.08.2017,2017-11-23,2017-08-11,104
1392491,9572,556442,2017-12-06,1,SI,02545019,0,3.69,3.47,4.75,8.93,0,494,2017-12-08,NA,0.018,65125280,0,1,NA,NA,0,6791,0,0,NA,1.21,44.4,Lisasta,2002,95.6,94.6,81.4,83.8,89.7,12,21.07.2016,2017-12-07,2016-07-21,504
1416140,10346,555632,2017-11-28,1,SI,62536840,9.4,3.38,3.26,4.45,8.42,0,85,2017-11-29,NA,0.019,65097235,0,2,NA,NA,0,6756,0.01,-0.08,NA,2.05,38.13,Lisasta,2002,102.7,103,111.4,101.7,106.1,13,29.07.2017,2017-11-28,2017-07-29,122
1432107,2813,555473,2017-11-27,1,SI,92539651,4.8,4.17,3.5,3.65,7.86,0,1166,2017-11-27,NA,0.011,65091665,0,1,NA,NA,0,6750,0,0,NA,3.02,28.98,Lisasta,2002,104.3,104.5,95.8,88.3,101.7,10,10.01.2016,2017-11-26,2016-01-10,686
1433091,30850,555326,2017-11-22,1,SI,92550203,4,4.21,3.43,4.14,8.29,0,1647,2017-11-24,NA,0.007,65088949,0,2,NA,NA,0,6747,0.07,0.01,NA,3.12,32.05,Lisasta,2002,90.9,91.1,84.1,83.8,86.4,12,14.06.2017,2017-11-23,2017-06-14,162
1456764,7777,555745,2017-11-27,1,SI,92565063,2,4.26,5.33,4.24,10.27,0,464,2017-11-30,NA,0.042,65102385,0,2,NA,NA,0,6765,0,0,NA,0,53.93,Rjava,2002,94.2,92.9,65.9,90.6,82.5,10,18.01.2017,2017-11-29,2017-01-18,315
