Milk yield,MASC,Protein,LAKT,ANPRENOS_ID_SEQ,RCT,A30,Breed
6,5.17,4.12,4.07,65116823,0.84,45.23,Rjava
7.6,4.23,4,4.71,65099383,0.82,44.91,Rjava
6.4,3.81,3.44,4.46,65119919,1.73,42.2,Lisasta
6,5.2,3.71,4.47,65121882,1.36,46.64,Lisasta
3.2,3.94,3.13,4.58,65087912,1.85,37.74,Lisasta
0,3.69,3.47,4.75,65125280,1.21,44.4,Lisasta
9.4,3.38,3.26,4.45,65097235,2.05,38.13,Lisasta
4.8,4.17,3.5,3.65,65091665,3.02,28.98,Lisasta
4,4.21,3.43,4.14,65088949,3.12,32.05,Lisasta
2,4.26,5.33,4.24,65102385,0,53.93,Rjava
6.2,3.53,3.07,4.72,65096754,1.4,43.8,Rjava
5.4,4.63,3.53,4.2,65121883,2.3,39.2,Lisasta
4.4,4.41,3.23,4.6,65110693,2.26,38.32,Holstein
5,4.31,4.25,3.73,65097551,1.44,36.81,Lisasta
4,3.51,4.17,4.52,65085128,0,48.98,Lisasta
0,4.19,4.51,3.51,65126018,2.39,33.76,Rjava
12.2,4.42,3.43,4.84,65116317,0.98,48.45,Rjava
8.2,4.85,3.68,4.59,65105290,1.16,45.19,Lisasta
0,3.85,3.22,4.29,65122529,1.69,41.43,Holstein
8,2.96,3.51,4.26,65105932,1.78,38.72,Holstein
6.8,4.96,5.01,4.7,65097199,0,50.77,Lisasta
0,4.08,3.67,4.46,65124754,1.31,43.43,Holstein
3.6,4.04,3.34,4.24,65097167,0.87,46.51,Lisasta
0,4.33,3.24,4.61,65122620,1.93,40.58,Lisasta
2.8,4.75,3.75,4.22,65100773,0.64,43.32,Rjava
2.5,4.84,4.24,4.59,65107215,0.23,49.48,Rjava
3.6,1.57,3.49,4.91,65100984,0.98,44.28,Holstein
0,4.71,3.93,4.5,65089648,0.03,48.02,Lisasta
8.4,3.51,2.93,4.67,65088007,2.38,36.65,Lisasta
9.8,3.71,3.52,4.53,65102358,1.78,42.52,Lisasta
9.4,4.52,3.96,4.44,65089930,0,47.61,Lisasta
11.5,4.13,3.38,4.42,65089931,1.74,38.52,Lisasta
2.7,4.36,3.82,4.11,65111827,2.74,32.7,Rjava
0,3.82,3.4,4.84,65125755,1.04,47.34,Lisasta
6.5,4.12,3.91,4.63,65093801,0.65,45.36,Lisasta
6.8,3.43,2.93,4.51,65119697,2.95,35.2,Lisasta
10,3.93,3.36,4.58,65107963,2.46,39.44,Lisasta
7.8,4.31,4.22,4.44,65090907,0.16,45.79,Lisasta
5.5,3.83,3.28,4.59,65087993,2,38.91,Lisasta
9,4.62,3.29,4.74,65091284,0.81,44.25,Lisasta
7.8,3.7,3.57,4.66,65085201,0,54.6,Rjava
6,2.86,2.97,5.03,65097168,1.21,44.29,Lisasta
0,4.89,3.39,4.81,65125563,1.01,46.13,Rjava
10.1,3.28,3.32,4.15,65091309,2.72,32.76,Lisasta
5.8,4.07,3.92,3.88,65107422,2.96,30.35,Lisasta
8.8,2.68,2.78,4.57,65115667,1.93,40.68,Rjava
3.4,5.81,4.22,4.57,65110694,0,50.92,Lisasta
4.6,4.15,4.26,4.15,65111869,1.18,40.81,Lisasta
5,5.23,4.58,4.46,65088550,0,51.34,Lisasta
0,5.09,3.74,4.18,65126054,1.95,38.95,Lisasta
8.8,4.17,3.42,4.23,65107563,3.16,29.08,Lisasta
9.2,3.92,2.89,4.48,65115668,2.13,38.22,Rjava
8.1,3.09,2.85,4.11,65091403,2.46,34.13,Lisasta
6,4.98,4.1,3.68,65105536,1.46,39.55,Lisasta
0,4.04,3.94,2.14,65126019,7.03,8.5,Rjava
5,5.11,4.45,4.21,65088716,0.17,48.97,Rjava
4,4.46,3.49,4.32,65088084,2.47,37.25,Lisasta
12,3.22,3.47,4.26,65106340,1.69,39.07,Lisasta
8.6,5.59,4.02,4.67,65116478,0,52.98,Lisasta
3.5,4.19,4.11,4.12,65119451,1.53,41.09,Lisasta
4.4,5.45,4.08,4.5,65089054,0.62,46.29,Rjava
6.7,3.43,3.46,4.41,65117228,1.32,45.6,Lisasta
5.4,5.22,3.62,4.27,65088310,1.77,39.22,Lisasta
5.5,4.05,3.92,4.17,65105822,1.76,37.72,Lisasta
8,3.89,3.57,4.84,65085185,0.15,48.74,Rjava
12.9,4.8,3.65,4.53,65119966,1.72,39.17,Lisasta
6,2.91,3.18,4.56,65102386,0.82,46.76,Rjava
7.5,4.07,3.39,4.7,65107250,1.49,45.15,Holstein
