Rejec,ID,IME,r,k20,a30,KoagRazred,Mascoba,proteini,Laktoza,SS,ZmrzTocka,Urea,SSC,KapaKazein
Popic,03869572,Mima,931,112,46,A,4.17,4.15,4.57,9.44,-0.529,13.3,273,BB
Pececnik,04018621,Rika,907.5,92.5,49.5,A,5.86,4.35,4.36,9.44,-0.524,23.7,171,AB
Lesjak,04022514,Bajka,992,107,41,A,4.88,4.08,4.27,9.08,-0.525,23.3,536,BB
Verdel,04052690,Sirena,1167,121,47,B,4.58,3.59,4.44,8.76,-0.526,11.9,259,BB
Verdev,04151689,Poka,974,203,39,A,4.46,3.71,4.27,8.71,-0.524,7.2,2335,
Tajnik,04153760,Juna,1457,135,29,B,4.35,3.46,4.5,8.68,-0.525,10.5,590,AB
Tajnik,04184548,Lolita,1184,124.5,39.5,B,5.8,3.9,4.47,9.1,-0.534,6.9,1450,BB
Verdev,04195641,Drona,974,175,47,A,4.41,3.71,4.39,8.83,-0.522,6.2,108,
Oblak,04241003,Sava,1048.5,189,41,A,4.58,3.59,4.44,8.76,-0.526,11.9,259,AA
Marolt,04298067,Sisi,877,100,47,A,4.35,4.25,4.56,9.54,-0.532,22.8,424,BB
Verdev,04298524,Višnja,643,151,44,D,3.57,3.7,4.76,9.19,-0.537,13.4,36,
Rakun,04301932,Zatra,740,113,46,A,4.01,3.49,4.55,8.76,-0.522,18.8,66,BB
Brecl,04302029,Voda,550.5,105,48.5,D,3.59,3.67,4.83,9.24,-0.531,7.8,108,BB
Oblak,04364070,Smola,1333,220,34,B,6.01,3.55,4.47,8.75,-0.517,9.9,121,BB
Kramer,04381460,Bajka,1531,7.5,17,F,3.73,3.62,3.07,4.69,8.49,-0.519,13.7,AA
Oblak,04391892,Coka,0,0,0,F,5.47,4.46,4.36,9.55,-0.518,3,3391,AB
Pececnik,04415657,Ona,961,106,38.5,A,3.72,3.59,4.89,9.2,-0.523,17.6,31,BB
Arlic,04494139,Hojka,999,113,48,A,4.9,4.21,4.59,9.53,-0.521,8,100,BB
Verdel,04496069,Zana,838.5,96.5,45,A,4.37,3.83,4.55,9.11,-0.524,5.8,605,cb
Rakun,04500980,Zala,780,112,46,A,4.18,3.35,4.73,8.81,-0.527,20.7,7,AB
Popic,13615468,Simba,917,124,40,A,3.95,3.59,4.13,8.45,-0.523,14.8,204,BB
Tajnik,13752365,Dalica,930,113.5,34,A,3.7,2.8,4.75,8.28,-0.524,13.8,79,AB
Popic,13869571,Mula,915,101,41,A,3.9,3.6,4.13,8.46,-0.523,16.2,210,BB
Pececnik,14155589,Bistra,1213,106,38,B,3.92,3.61,4.75,9.09,-0.533,23,85,BB
Verdev,14191749,Zoja,1028,165,42,A,3.76,3.72,4.87,9.32,-0.537,15.4,25,
Popic,14217070,Camila,662,95,44,A,3.91,3.41,4.64,8.78,-0.52,9.5,26,BB
Tajnik,14242625,Jagoda,845,108.5,38,A,3.91,3.49,4.8,9.02,-0.525,12.5,83,AB
Popic,14294048,Strina,717,89,41,A,5.66,5.06,4.63,10.42,-0.533,10.4,321,AB
Rakun,14297924,Viola,1472,117,29,B,1.18,3.58,4.55,8.86,-0.538,13.4,503,BB
Marolt,14298066,Bona,869.5,122,49.5,A,4.37,3.86,4.54,9.12,-0.531,20.7,91,BB
Knez,14303098,Miša,1083,103.5,39.5,B,4.29,3.55,4.44,8.72,-0.513,16.3,94,
Vasle,14349966,Dona,1113,97,43.5,B,4.34,3.51,4.44,8.67,-0.523,20.4,90,AA
Arlic,14413458,Soluna,0,0,0,F,5.25,5.03,3.7,9.47,-0.529,7.2,1530,AB
Brecl,14413829,Miška,991.5,107.5,41.5,A,4.06,3.85,4.9,9.48,-0.529,14,90,AA
Verdel,14496068,Dika,692,96,45,A,4.75,3.59,4.8,9.11,-0.526,8.1,67,cb
Popic,23869570,Samara,1113.5,119,43.5,B,4.65,4.19,4.31,9.24,-0.521,12,243,BB
