Herd,N,Prob
1,150,0.136736554238833
2,115,0.104831358249772
3,69,0.0628988149498633
4,61,0.0556061987237922
5,60,0.0546946216955333
6,67,0.0610756608933455
7,54,0.0492251595259799
8,61,0.0556061987237922
9,40,0.0364630811303555
10,31,0.0282588878760255
11,29,0.0264357338195077
12,34,0.0309936189608022
13,18,0.01640838650866
14,20,0.0182315405651778
15,15,0.0136736554238833
16,22,0.0200546946216955
17,21,0.0191431175934366
18,13,0.0118505013673655
19,11,0.0100273473108478
20,7,0.00638103919781222
21,13,0.0118505013673655
22,12,0.0109389243391067
23,19,0.0173199635369189
24,9,0.00820419325432999
25,13,0.0118505013673655
26,9,0.00820419325432999
27,5,0.00455788514129444
28,10,0.00911577028258888
29,5,0.00455788514129444
30,9,0.00820419325432999
31,6,0.00546946216955333
32,2,0.00182315405651778
33,6,0.00546946216955333
34,5,0.00455788514129444
35,2,0.00182315405651778
36,4,0.00364630811303555
37,3,0.00273473108477666
38,4,0.00364630811303555
39,6,0.00546946216955333
40,2,0.00182315405651778
41,7,0.00638103919781222
42,2,0.00182315405651778
44,2,0.00182315405651778
45,1,0.000911577028258888
46,2,0.00182315405651778
47,1,0.000911577028258888
48,1,0.000911577028258888
49,3,0.00273473108477666
50,2,0.00182315405651778
51,1,0.000911577028258888
52,1,0.000911577028258888
53,1,0.000911577028258888
54,1,0.000911577028258888
58,2,0.00182315405651778
59,1,0.000911577028258888
61,1,0.000911577028258888
62,2,0.00182315405651778
63,1,0.000911577028258888
64,2,0.00182315405651778
65,2,0.00182315405651778
66,1,0.000911577028258888
67,3,0.00273473108477666
68,1,0.000911577028258888
71,1,0.000911577028258888
73,1,0.000911577028258888
84,1,0.000911577028258888
91,2,0.00182315405651778
94,1,0.000911577028258888
100,1,0.000911577028258888
102,2,0.00182315405651778
105,1,0.000911577028258888
108,1,0.000911577028258888
111,1,0.000911577028258888
118,1,0.000911577028258888
127,1,0.000911577028258888
